non_toxicity_cats,family,scientific_name,non_toxicity,non_toxicity_dogs,toxicity_horses,toxicity_cats,clinical_signs,additional_common_names,toxic_principles,non_toxicity_horses,url,name,image_url,toxicity,toxicity_dogs
TRUE, Bromiliaceae, Neoregalia spp.," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE, ," Marbled fingernail,Blushing bromeliad, Ossifragi Vase, Miniature Marble plant, Aregelia", ,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/crimson-cup,Crimson Cup,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
TRUE, Dryopteridaceae, Nephrolepis biserrata," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE, , Bold-Sword Fern, ,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/crisped-feather-fern,Crisped Feather Fern,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
TRUE, Acanthaceae, Crossandra species," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE,null,null,null,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/crossandra,Crossandra,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/crossandra-r.jpg?itok=WpXd-cJY,null,FALSE
FALSE, Araceae, Arum maculatum,null,FALSE,TRUE,TRUE," Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing"," Arum, Lord-and-Ladies, Adam-and-Eve, Starch Root, Bobbins, Wake Robin", Insoluble calcium oxalates,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/cuckoo-pint,Cuckoo-pint,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/arum-r.jpg?itok=I6KyQVcY," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
TRUE, Cucurbitaceae, Cucumis sativa," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE,null, Garden Cucumber,null,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/cucumber,Cucumber,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/cucumber-r.jpg?itok=fVWVEUHE,null,FALSE
TRUE, Selaginellaceae, Selaginella kraussiana," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE,null," Club Moss, Irish Moss, Krauss' Spikemoss, Spreading Club Moss, Trailing Irish Moss",null,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/cushion-moss,Cushion Moss,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/club-moss-r.jpg?itok=63ZBDpCk,null,FALSE
TRUE, Aloaceae, Aloe retusa," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE, , , ,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/cushon-aloe,Cushon Aloe,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
FALSE, Araceae, Monstera deliciosa,null,FALSE,FALSE,TRUE," Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing."," Hurricane Plant, Swiss Cheese Plant, Ceriman, Mexican Breadfruit, Split-leaf Philodendron, Window Leaf Plant", Insoluble calcium oxalates,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/cutleaf-philodendron,Cutleaf Philodendron,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/cutleaf-philodendron-r.jpg?itok=q0nuAtMl," Toxic to Dogs, Toxic to Cats",TRUE
FALSE, Cycadaceae, Cycas and Zamia species,null,FALSE,TRUE,TRUE," Vomiting (may be bloody), dark stools, jaundice, increased thirst, bloody diarrhea, bruising, liver failure, death. 1-2 seeds can be fatal."," Sago Palm, Fern Palm"," Cycasin, B-methylamino-l-alanine, unidentified neurotoxin (cattle)",FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/cycads,Cycads,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/cycads-r.jpg?itok=I7gOluo_," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Primulaceae, Cyclamen spp,null,FALSE,FALSE,TRUE," Salivation, vomiting, diarrhea. Following large ingestions of tubers: heart rhythm abnormalities, seizures, death", Sowbread, Terpenoid saponins,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/cyclamen,Cyclamen,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/cyclamen-2-r.jpg?itok=U0jcTkW3," Toxic to Dogs, Toxic to Cats",TRUE
TRUE, Gesneriaceae, Episcia reptans," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE, ," Flame African Violet, Frosty, Flame, Moss agate, Lady Lou, Red African Violet, Acajou", ,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/cyrtudeira,Cyrtudeira,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
FALSE, Amaryllidaceae, Narcissus spp,null,FALSE,TRUE,TRUE," Vomiting, salvation, diarrhea; large ingestions cause convulsions, low blood pressure, tremors and cardiac arrhythmias. Bulbs are the most poisonous part."," Narcissus, Jonquil, Paper White", Lycorine and other alkaloids,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/daffodil,Daffodil,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/daffodil-r.jpg?itok=AL_7AwrI," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Compositae, Dahlia species,null,FALSE,FALSE,TRUE," Mild gastrointestinal signs, mild dermatitis", Many varieties, Unknown,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/dahlia,Dahlia,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/dahlia-r.jpg?itok=T7bHOgCt," Toxic to Dogs, Toxic to Cats",TRUE
TRUE, Davalliaceae, Davallia fejeensis," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE, ," Lacy Paw, Lacy Hare's Foot", Non-toxic,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/dainty-rabbits-foot-fern,Dainty Rabbits-Foot Fern,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
FALSE, Compositae, Chrysanthemum species,null,FALSE,FALSE,TRUE," Vomiting, diarrhea, hypersalivation, incoordination, dermatitis"," Chrysanthemum, Mum"," Sesquiterpene, lactones, pyrethrins and other potential irritants",FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/daisy,Daisy,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/chrysanthemum-r.jpg?itok=k2oPKH9x," Toxic to Dogs, Toxic to Cats",TRUE
TRUE, Dryopteridaceae, Nephrolepis biserrata," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE,null, Bold Sword Fern,null,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/dallas-fern,Dallas Fern,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/dallas-fern-r.jpg?itok=yjworGbl,null,FALSE
TRUE, Orchidaceae, Oncidium flexuosum," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE, , , ,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/dancing-doll-orchid,Dancing Doll Orchid,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
FALSE, Liliaceae, Hemerocallis spp., Non-Toxic to Dogs,TRUE,FALSE,TRUE," Cats: kidney failure. Cows: Incoordination, paresis, blindness, death.",null, Unknown,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/day-lilies-many-varieties,Day Lilies (many varieties),https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/day-lily-r.jpg?itok=K8g4CvCe, Toxic to Cats,FALSE
FALSE, Solanaceae, Solanum spp,null,FALSE,TRUE,TRUE," Hypersalivation, inappetence, severe gastrointestinal upset, diarrhea, drowsiness, CNS depression, confusion, behavioral change, weakness, dilated pupils, slow heart rate."," Nightshade, Black Nightshade, European Bittersweet, Climbing Nightshade"," Solanine, saponins, atropine like substances",FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/deadly-nightshade,Deadly Nightshade,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/deadly-nightshade-r.jpg?itok=mUJ4pAZX," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Apocynaceae, Adenium obesum,null,FALSE,TRUE,TRUE," Vomiting, diarrhea, anorexia, depression, irregular heart beat, death"," Desert Rose, Mock Azalea, Sabi Star, Impala Lily, Kudu Lily", Digitalis like glycosides,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/desert-azalea,Desert Azalea,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/desert-azalea-r.jpg?itok=tkJzYgmQ," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Apocynaceae, Adenium obesum,null,FALSE,TRUE,TRUE," Vomiting, diarrhea, anorexia, depression, irregular heart beat, death"," Desert Azalea, Mock Azalea, Sabi Star, Impala Lily, Kudu Lily", Digitalis like glycosides,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/desert-rose,Desert Rose,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/desert-azalea-r.jpg?itok=tkJzYgmQ," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
TRUE, Polygonaceae, Eriogonium inflatum," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE,null,null, Non-toxic,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/desert-trumpet,Desert Trumpet,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/desert-trumpet-r.jpg?itok=8DFwjWTo,null,FALSE
FALSE, Crassulaceae, Kalanchoe tubiflora, ,FALSE,FALSE,TRUE," Vomiting, diarrhea, abnormal heart rhythm (rare)."," Mother-In-Law-Plant, Kalanchoe, Chandelier Plant, Mother of Millions", Bufodienolides,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/devils-backbone,Devil's Backbone,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE," Toxic to Dogs, Toxic to Cats",TRUE
FALSE, Araceae, Epipremnum aureum,null,FALSE,FALSE,TRUE," Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing."," Pothos, Golden Pothos, Taro Vine, Ivy Arum", Insoluble calcium oxalates,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/devils-ivy,Devils Ivy,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/devils-ivy-2-r.jpg?itok=VyaB4WyJ," Toxic to Dogs, Toxic to Cats",TRUE
TRUE, Amaryllidaceae, Dichelostemma species," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE,null, Several varieties, Non-toxic,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/dichelostemma,Dichelostemma,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/dichelostemma-r.jpg?itok=WsCLhbuP,null,FALSE
TRUE, Commelinaceae, Dichorisandra reginae," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE, , Queen's Spiderwort, Non-toxic,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/dichorisandra-reginae,Dichorisandra Reginae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
FALSE, Araceae, Dieffenbachia,null,FALSE,FALSE,TRUE," Oral irritation, intense burning and irritation of mouth , tongue and lips, excessive drooling, vomiting, difficulty swallowing"," Charming Dieffenbachia, Giant Dumb Cane, Tropic Snow, Dumbcane, Exotica, Spotted Dumb Cane, Exotica Perfection"," Insoluble calcium oxalates, proteolytic enzyme",FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/dieffenbachia,Dieffenbachia,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/dumbcane-r.jpg?itok=elybOvHm," Toxic to Dogs, Toxic to Cats",TRUE
TRUE, Aizoaceae, Dinteranthus," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE,null,null, Non-toxic,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/dinteranthus-vanzylii,Dinteranthus Vanzylii,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/dinteranthus-r.jpg?itok=o5ph5MmP,null,FALSE
FALSE, Polygonaceae, Rumex sp.,null,FALSE,TRUE,TRUE," Kidney failure, tremors, salivation.", Sorrel, Soluble calcium oxalates,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/dock,Dock,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/dock-r.jpg?itok=rPWkishR," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Compositae, Achillea millefolium,null,FALSE,TRUE,TRUE," Increased urination, vomiting, diarrhea, dermatitis.", Dog Fennel, Achilleine and alkaloids.,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/dog-daisy,Dog Daisy,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/dog-daisy-r.jpg?itok=LLg1LmD0," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Ericaceae, Leucothoe sp.,null,FALSE,TRUE,TRUE," Vomiting, diarrhea, depression, cardiovascular collapse, hypersalivation, weakness, coma, low blood pressure, death. Ingestion of a few leaves can cause serious problems."," Dog Laurel, Fetter Bush, Black Laurel", Grayanotoxins,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/dog-hobble,Dog Hobble,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/dog-hobble-r.jpg?itok=1Hm543NR," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Apocynaceae, Apocynum,null,FALSE,TRUE,TRUE," Diarrhea (possibly with blood), slow heart rate, weakness"," Bitterroot, Indian Hemp", Cardenolides,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/dogbane-hemp,Dogbane Hemp,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/bitter-root-r_0.jpg?itok=2wXqmQhF," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Agavaceae, Dracaena spp.,null,FALSE,FALSE,TRUE," Vomiting (occasionally with blood), depression, anorexia, hypersalivation, dilated pupils (cats)."," Corn Plant, Cornstalk Plant, Dragon Tree, Ribbon Plant", Saponins,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/dracaena,Dracaena,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/dracaena-r.jpg?itok=Yv51Sqo6," Toxic to Dogs, Toxic to Cats",TRUE
TRUE, Nephrolepidaceae, Nephrolepsis cordifolia 'duffii'," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE,null," Duffy Fern, Lemon Button Fern", Non-toxic,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/duffii-fern,Duffii Fern,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/duffii-fern-r.jpg?itok=nFH-4oCp,null,FALSE
FALSE, Araceae, Dieffenbachia,null,FALSE,FALSE,TRUE," Oral irritation, intense burning and irritation of mouth , tongue and lips, excessive drooling, vomiting, difficulty swallowing."," Charming Dieffenbachia, Giant Dumb Cane, Tropic Snow, Exotica, Spotted Dumb Cane, Exotica Perfection, Dieffenbachia"," Insoluble calcium oxalates, proteolytic enzyme",FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/dumbcane,Dumbcane,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/dumbcane-r.jpg?itok=elybOvHm," Toxic to Dogs, Toxic to Cats",TRUE
TRUE, Palmae, Phoenix acaulis," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE,null,null, Non-toxic,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/dwarf-date-palm,Dwarf Date Palm,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/dwarf-date-palm-r.jpg?itok=CSheS_jW,null,FALSE
TRUE, Nephrolepidaceae, Nephrolepis exaltata," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE,null,null, Non-toxic,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/dwarf-feather-palm,Dwarf Feather Palm,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/feather-palm-r.jpg?itok=D6oFKTxN,null,FALSE
TRUE, Palmae, Chamaedorea elegans," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE,null," Good Luck palm, Parlor palm", Non-toxic,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/dwarf-palm,Dwarf Palm,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/good-luck-palm-r.jpg?itok=ntv9y8-g,null,FALSE
FALSE, Fabaceae, Caesalpinia pulcherrima,null,FALSE,TRUE,TRUE, Vomiting and diarrhea.," Barbados Pride, Peacock Flower"," GI Irritants, Tannins",FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/dwarf-poinciana,Dwarf Poinciana,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/peacock-flower-r.jpg?itok=XCQhK1ED," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
TRUE, Bromelaceae, Cryptanthus bivattus minor," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE, , , Non-toxic,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/dwarf-rose-stripe-star,Dwarf Rose-Stripe Star,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
TRUE, Arecaceae, Veitchia merillii," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE, , , Non-toxic,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/dwarf-royal-palm,Dwarf Royal Palm,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
TRUE, Nephrolepidaceae, Nephrolepsis cordifolia plumosa," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE, , , Non-toxic,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/dwarf-whitman-fern,Dwarf Whitman Fern,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
TRUE, Bromeliaceae, Cryptanthus bivattus minor," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE,null," Starfish plant, Green earth star, Vary-leaf star", Non-toxic,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/earth-star,Earth Star,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/earth-star-r.jpg?itok=-TECobfj,null,FALSE
TRUE, Orchidaceae, Cattleya mossiae," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE,null, Easter Orchid, Non-toxic,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/easter-cattleya,Easter Cattleya,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/easter-cattleya-r.jpg?itok=U122648F,null,FALSE
TRUE, Asteraceae, Townsendia sevicea," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE,null,null, Non-toxic,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/easter-daisy,Easter Daisy,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/easter-daisy-r.jpg?itok=OuRPHAT5,null,FALSE
FALSE, Liliaceae, Lilium longiflorum," Non-Toxic to Dogs, Non-Toxic to Horses",TRUE,FALSE,TRUE," Vomiting, inappetence, lethargy, kidney failure, and death is possible. Cats are only species known to be affected.",null, Unknown,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/easter-lily,Easter Lily,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/easter-lily-1-r.jpg?itok=vkjorwDu, Toxic to Cats,FALSE
TRUE, Cactaceae, Echinopsis multiplex," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE, , , Non-toxic,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/easter-lily-cactus,Easter Lily Cactus,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
TRUE, Orchidaceae, Cattleya mossiae," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE,null, Easter Cattleya, Non-toxic,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/easter-orchid,Easter Orchid,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/easter-cattleya-r.jpg?itok=U122648F,null,FALSE
FALSE, Ranunculaceae, Helleborus niger,null,FALSE,TRUE,TRUE," Drooling, abdominal pain and diarrhea, colic, depression."," Hellebore, Christmas Rose, Lenten Rose"," Bufadienolides, glycosides, veratrin and prtoanemonin",FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/easter-rose,Easter Rose,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/christmas-rose-r.jpg?itok=cqfmgqS-," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Caryophyllaceae, Dianthus,null,FALSE,FALSE,TRUE,null,null,null,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/eastern-star,Eastern Star,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/eastern-star-r.jpg?itok=cILpF0KB," Toxic to Dogs, Toxic to Cats",TRUE
TRUE, Musaceae, Musa acuminata," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE,null,null, Non-toxic,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/edible-banana,Edible Banana,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/banana-r.jpg?itok=EVDCwEtU,null,FALSE
FALSE, Araceae, Caladium hortulanum,null,FALSE,FALSE,TRUE," Oral irritation, intense burning and irritation of the mouth, lips, tongue, excessive drooling, vomiting, difficulty in swallowing."," Caladium, Taro, Pai, Ape, Cape, Via, Via sori, Malanga", Calcium oxalate crystals,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/elephant-ears,Elephant Ears,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/elephant-ears-r.jpg?itok=Pi8zHwaI," Toxic to Dogs, Toxic to Cats",TRUE
FALSE, Araceae, Colocasia esculenta,null,FALSE,FALSE,TRUE," Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing."," Caladium, Malanga", Insoluble calcium oxalates,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/elephant-ears-0,Elephant Ears,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/elephant-ears-r.jpg?itok=Pi8zHwaI," Toxic to Dogs, Toxic to Cats",TRUE
TRUE, Begoniaceae, Begonia scharfii," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE, Non-toxic, , ,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/elephant-ear-begonia,Elephant-Ear Begonia,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
FALSE, Liliaceae, Asparagus densiflorus,null,FALSE,TRUE,TRUE," Allergic dermatitis with repeated dermal exposure. Berry ingestion could result in gastric upset (vomiting, abdominal pain, or diarrhea)."," Emerald Fern, Asparagus, Asparagus fern, Sprengeri fern, Plumosa fern, Lace fern, Racemose asparagus, Shatavari", Unknown,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/emerald-feather,Emerald Feather,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/emerald-feather-r.jpg?itok=SEHPov3d," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
TRUE, Piperaceae, Peperomia caperata," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE, ," Green ripple peperomia, Little fantasy peperpmia", Non-toxic,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/emerald-ripple-peperomia,Emerald Ripple Peperomia,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
TRUE, Rosaceae, Crataegus laevigata," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE, ," Midland hawthorn, Smooth hawthorn", Non-toxic,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/english-hawthorn,English Hawthorn,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
