name,sci_name,common_names,family,image_url,aspca_url,non_toxicity_cats,non_toxicity_dogs,non_toxicity_horses,clinical_signs
Callistemon Brachyandrus,Callistemon species,"Weeping Bottlebrush, Prickly Bottlebrush, Crimson Bottlebrush, Bottlebrush, Callistemon brachyandrus",Myrtaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/callistemon-brachyandrus,TRUE,TRUE,TRUE,null
Callistemon citrinus,Callistemon citrinus,Crimson Bottlebrush,Myrtaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/callistemon-citrinus,TRUE,TRUE,TRUE,null
Callistemon viminalis,Callistemon viminalis,"Weeping Bottlebrush, Prickly Bottlebrush, Crimson Bottlebrush",Myrtaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/callistemon-viminalis,TRUE,TRUE,TRUE,null
Calochortus nuttalli,Calochortus nuttalli,"Sego Lily, Star Tulip, Mariposa Lily, Cat Ear, Butterfly Tulip",Liliaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/calochortus-nuttalli,TRUE,TRUE,TRUE,null
Calochortus nuttalli 2,Calochortus luteus,"Sego Lily, Star Tulip, Mariposa Lily, Cat Ear, Butterfly Tulip",Liliaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/calochortus-nuttalli-2,TRUE,TRUE,TRUE,null
Camellia,Camellia japonica,"Common Camellia, Peony Camellia",Theaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/camellia,TRUE,TRUE,TRUE,null
Canada Hemlock,Tsuga canadensis,,Pinaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/canada-hemlock,TRUE,TRUE,TRUE,null
Canary Date Palm,Phoenix canariensis,,Palmae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/canary-date-palm,TRUE,TRUE,TRUE,null
Candle Plant,Plectranthus coleoides,,Labiatae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/candle-plant,TRUE,TRUE,TRUE,null
Candycorn Plant,Hypocyrta nummularia,null,Gesneriaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/hypocyrta-r.jpg?itok=jj9hvwqT,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/candycorn-plant,TRUE,TRUE,FALSE,null
Cane Palm,"Dypsis lutescens, chrysalidocarpus lutescens (alternate scientific name)","Golden Butterfly Palm, Areca Palm, Golden Feather Palm, Yellow Palm",Palmae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/cane-palm,TRUE,TRUE,FALSE,null
Canna Lily,Canna generalis,Common Garden Canna,Cannaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/canna-r.jpg?itok=p3aFNR7H,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/canna-lily,TRUE,TRUE,FALSE,null
Canterbury-bell,Gloxinia perennis,,Gesneriaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/canterbury-bell,TRUE,TRUE,TRUE,null
Cape Jasmine,Gardenia jasminoides,Gardenia,Rubiaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/cape-jasmine-r.jpg?itok=GDkPVBXa,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/cape-jasmine,FALSE,FALSE,FALSE,"Mild vomiting and/or diarrhea, hives."
Cape Marigold,Dimorphotheca pluvialis,African Daisy,Compositae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/african-daisy-r.jpg?itok=Q30Femx_,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/cape-marigold,TRUE,TRUE,TRUE,null
Cape Primrose,Streptocarpus spp.,"Twisted Fruit, Bavarian Belle",Gesneriaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/cape-primrose,TRUE,TRUE,TRUE,null
Cardboard Palm,Zamia furfuracea,cycads and zamias,Cycadaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/cardboard-palm-r.jpg?itok=aNQwn2Zz,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/cardboard-palm,FALSE,FALSE,FALSE,"Vomiting, melena, icterus, increased thirst, hemorrhagic gastroenteritis, bruising, coagulopathy, liver damage, liver failure, death."
Cardinal Flower,Lobelia cardinalis,"Lobelia, Indian Pink",Campanulaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/cardinal-flower,FALSE,FALSE,FALSE,"Depression, diarrhea, vomiting, excessive salivation, abdominal pain, heart rhythm disturbances."
Carnation,Dianthus caryophyllus,"Pinks, Wild Carnation, Sweet William",Caryophyllaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/carnation-r.jpg?itok=pYPC0Uuf,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/carnation,FALSE,FALSE,FALSE,"Mild gastrointestinal signs, mild dermatitis"
Carob,Ceratonia siliqua,"Sugar Pod, Locust Pods, Algaroba, Carob Tree Kharoub, Beans",Fabaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/carob,TRUE,TRUE,TRUE,null
Caroba,Jacaranda procera,"Caaroba, Carob Tree, Carobhina, Bignonia",Bignoniaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/caroba,TRUE,TRUE,TRUE,null
Carolina Hemlock,Tsuga caroliniana,,Pinaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/carolina-hemlock,TRUE,TRUE,TRUE,null
Carolina Maple,Acer rubrum,"Swamp Maple, Scarlet Maple, Red Maple, Curled Maple, Acer Sanguineum, Soft Maple, Rufacer Rubrum",Aceraceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/carolina-maple-r.jpg?itok=gR9FZ1Xv,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/carolina-maple,FALSE,FALSE,FALSE,"Wilted leaves are considered to be most toxic. Damage to red blood cells, resulting in decreased ability to carry oxygen to tissues; darkening of the membranes around the eyes/mouth,weakness, feed refusal, central nervous system depression, abdominal discomfort, laminitis, discolored urine, abortion in pregnant mares. Death can occur within 18 hours or as long as 7-10 days after ingestion. Most cases of poisoning are reported during midsummer through early winter."
Carrion Flower,Smilax herbacea,Jacob's Ladder,Liliaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/carrion-flower,TRUE,TRUE,TRUE,null
Carrion Flower 2,Stapelia hirsata,Hairy Toad Plant,Asclepiadaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/carrion-flower-2,TRUE,TRUE,TRUE,null
Carrot Fern,Onychium japonica,,Polypodiaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/carrot-fern,TRUE,TRUE,FALSE,null
Carrot Flower,Daucus carota var. sativa,Garden Carrot,Umbelliferae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/carrot-flower,TRUE,TRUE,TRUE,"Contains psoralens that have been known to cause skin irritation; the taproot is edible, as it is the common garden carrot."
Casaba Melon,Cucumis melo,"Honeydew Melon, True Cantaloupe, Muskmelon",Cucurbitaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/casaba-melon,TRUE,TRUE,TRUE,null
Cast Iron Plant,Aspidistra elatior,"Bar Room Plant, Iron Plant, Variegated Cast Iron Plant",Liliaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/cast-iron-plant,TRUE,TRUE,FALSE,null
Castor Bean Plant,Ricinus communis,"Castor Oil Plant, Mole Bean Plant, African Wonder Tree, Castor Bean",Euphorbiaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/african-wonder-tree-1-r.jpg?itok=F7NqdMYo,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/castor-bean-plant,FALSE,FALSE,FALSE,"Beans are very toxic: oral irritation, burning of mouth and throat, increase in thirst, vomiting, diarrhea, kidney failure, convulsions. Access to ornamental plants or pruned foliage most common in poisonings. Ricin is a highly toxic component that inhibits protein synthesis; ingestion of as little as one ounce of seeds can be lethal. Signs typically develop 12 to 48 hours after ingestion, and include loss of appetite, excessive thirst, weakness, colic, trembling, sweating, loss of coordination, difficulty breathing, progressive central nervous system depression, and fever. As syndrome progresses, bloody diarrhea may occur, and convulsions and coma can precede death."
Cat Brier,Smilax glabra,"China Root, Ti-hu-ling, Shiny Leaf Smilax",Liliaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/cat-brier,TRUE,TRUE,TRUE,null
Cat Ear,Calochortus nuttalli; Calochortus luteus,"Sego Lily, Star Tulip, Mariposa Lily, Cat Ear, Butterfly Tulip, Calochortus",Liliaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/cat-ear,TRUE,TRUE,TRUE,null
Catsear,Hypochaeris radicata,"Flatweed, Cat's Ear, False Dandelion",Asteraceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/hypochaeris-radicata-r_0.jpg?itok=aSwNtcNx,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/catsear,FALSE,FALSE,FALSE,"Stringhalt (back legs may have exaggerated flexion, hopping gait)"
Cattleya Labiata,Cattleya labiata,"Crimson Cattleya, Ruby-lipped Cattleya",Orchidaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/cattleya-labiata-r.jpg?itok=U0-cxxu2,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/cattleya-labiata,TRUE,TRUE,FALSE,null
Celosia Globosa,Celosia globosa,"Globe Amarantha, Perpetua",Amaranthaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/celosia-globosa,TRUE,TRUE,TRUE,null
Celosia Plumosa,Celosia plumosa,Cockscomb,Amaranthaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/celosia-plumosa-r.jpg?itok=lNeARSIN,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/celosia-plumosa,TRUE,TRUE,TRUE,null
Celosia Spicata,Celosia spicata,Flamingo Feather,Amaranthaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/celosia-spicata-r.jpg?itok=CncfpY_Q,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/celosia-spicata,TRUE,TRUE,TRUE,null
Ceriman,Monstera deliciosa,"Cutleaf Philodendron, Hurricane Plant, Swiss Cheese Plant, Mexican Breadfruit",Araceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/ceriman-cutleaf-philodendron-r.jpg?itok=qYgFKKCu,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/ceriman,FALSE,FALSE,FALSE,"Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing."
Chamaedorea,Chamaedorea elegans,"Miniature Fish Tail Dwarf Palm, Parlor Palm, Good Luck Palm",Palmae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/good-luck-palm-r.jpg?itok=ntv9y8-g,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/chamaedorea,TRUE,TRUE,FALSE,null
Chamomile,Anthemis nobilis,"Manzanilla, Garden Chamomile, Roman Chamomile, True Chamomile, Corn Feverfew, Barnyard Daisy, Ground-apple, Turkey-weed",Compositae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/chamomile-r.jpg?itok=GkFbzb20,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/chamomile,FALSE,FALSE,FALSE,"Contact dermatitis, vomiting, diarrhea, anorexia, allergic reactions. Long term use can lead to bleeding tendencies."
Chandelier Plant,Kalanchoe tubiflora,"Mother-In-Law-Plant, Kalanchoe, Devils Backbone, Mother of Millions",Crassulaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/chandelier-plant,FALSE,FALSE,FALSE,"Vomiting, diarrhea, abnormal heart rhythm (rare)."
Chaparral,Larrea tridentata,"Creosote Bush, Greasewood",Zygophyllaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/chaparral-r.jpg?itok=kYh2KzcA,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/chaparral,TRUE,TRUE,TRUE,null
Charlock,Brassica kaber,"Wild Mustard, California Rape",Cruciferae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/charlock-r.jpg?itok=td1DZpdM,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/charlock,FALSE,FALSE,FALSE,"The plant is not typically ingested unless other forage is unavailable, or the plant is incorporated into hay. Poisonings occur most commonly from first and sometimes second cuttings of hay. The toxic component is an irritant, and causes digestive tract irritation."
Charming Dieffenbachia,Dieffenbachia amoena,null,Araceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/charming-dieffenbachia-r.jpg?itok=qL6ErxIe,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/charming-dieffenbachia,FALSE,FALSE,FALSE,"Oral irritation, intense burning and irritation of mouth , tongue and lips, excessive drooling, vomiting, difficulty swallowing"
Chenille Plant,Acalypha hispida,"Philippine Medusa, Foxtail, Red-hot Cat Tail",Euphorbiaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/chenille-plant-r.jpg?itok=S9fqsfQ6,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/chenille-plant,TRUE,TRUE,FALSE,null
Cherry,Prunus species,null,Rosaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/cherry-r.jpg?itok=Lfg7WxnN,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/cherry,FALSE,FALSE,FALSE,"Stems, leaves, seeds contain cyanide, particularly toxic in the process of wilting: brick red mucous membranes, dilated pupils, difficulty breathing, panting, shock."
Chestnut,Castanea dentata,American Chestnut,Fagaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/chestnut-1-r.jpg?itok=-9s871ZI,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/chestnut,TRUE,TRUE,TRUE,null
Chicken-Gizzard,Iresine herbstii,"Joseph's Coat, Bloodleaf Plant",Amaranthaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/bloodleaf-r.jpg?itok=5_2VA4PH,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/chicken-gizzard,TRUE,TRUE,FALSE,null
Chickens and Hens,Echeveria elegans,"Hens and Chickens, Mother Hens and Chicks",Crassulaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/chickens-and-hens-r.jpg?itok=j9dHhkri,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/chickens-and-hens,TRUE,TRUE,TRUE,null
Chin-lao-shu,Smilax glabra,"China Root, Ti-hu-ling, Shiny Leaf Smilax, Catbrier",Liliaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/chin-lao-shu,TRUE,TRUE,TRUE,null
China Aster,Callistephus chinensis,"Annual Aster, Aster Sinensis",Compositae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/china-aster,TRUE,TRUE,FALSE,null
China Root,Smilax glabra,"Catbrier, Ti-hu-ling, Shiny Leaf Smilax",Liliaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/china-root,TRUE,TRUE,TRUE,null
Chinaberry Tree,Melia azedarach,"Bead Tree, China Ball Tree, Paradise Tree, Persian Lilac, White Cedar, Japanese Bead Tree, Texas Umbrella Tree, Pride-of-India",Meliaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/bead-tree-r.jpg?itok=dQ4xzmpz,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/chinaberry-tree,FALSE,FALSE,FALSE,"Diarrhea, vomiting, salivation, depression, weakness, and seizures. Ripe fruit (berries) most toxic but also bark, leaves, and flowers."
Chinese Evergreen,Aglaonema modestrum,null,Araceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/chinese-evergreen-r.jpg?itok=Qc6hZYF2,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/chinese-evergreen,FALSE,FALSE,FALSE,"Oral irritation, intense burning and irritation of mouth tongue and lips, excessive drooling, vomiting, difficulty swallowing"
Chinese Jade,Crassula arborescens,"Silver Jade Plant, Silver Dollar",Crassulaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/silver-jade-r.jpg?itok=GKItVSus,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/chinese-jade,FALSE,FALSE,FALSE,"Nausea, retching"
Chinese Plumbago,Ceratostigma willmottianum,,Plumbaginaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/chinese-plumbago,TRUE,TRUE,TRUE,null
Chlorophytum,Anthericum comosum,"Ribbon Plant, Spider Ivy, Spider Plant",Liliaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/chlorophytum,TRUE,TRUE,FALSE,null
Chlorophytum bichetti,Chlorophytum bichetti,Saint Bernard's Lily,Liliaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/chlorophytum-bichetti-r.jpg?itok=5sDN16gu,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/chlorophytum-bichetti,TRUE,TRUE,FALSE,null
Chocolate Soldier,Episcia dianthiflora,"Lace-Flower Vine, Episcia",Gesneriaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/chocolate-soldier-r.jpg?itok=qk7l1baw,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/chocolate-soldier,TRUE,TRUE,FALSE,null
Christmas Cactus,Schlumbergera bridgesii,Easter Cactus,Cactaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/christmas-cactus-r.jpg?itok=aswZ20IG,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/christmas-cactus,TRUE,TRUE,FALSE,null
Christmas Dagger,Polystichum acrostichoides,Christmas Dagger Fern,Dryopteridaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/christmas-dagger-r.jpg?itok=pOFVtLLK,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/christmas-dagger,TRUE,TRUE,FALSE,null
Christmas Orchid,Cattleya trianaei,Winter Cattleya,Orchidaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/winter-cattleya-r.jpg?itok=NWJRkAY_,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/christmas-orchid,TRUE,TRUE,FALSE,null
Christmas Palm,Veitchia merrillii,"Dwarf Royal Palm, Manila Palm",Arecaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/christmas-palm-r.jpg?itok=_YleW_4p,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/christmas-palm,TRUE,TRUE,FALSE,null
Christmas Rose,Helleborus niger,"Hellebore, Lenten Rose, Easter Rose",Ranunculaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/christmas-rose-r.jpg?itok=cqfmgqS-,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/christmas-rose,FALSE,FALSE,FALSE,"Drooling, abdominal pain and diarrhea, colic, depression."
Chrysanthemum,Chrysanthemum spp.,"Daisy, Mum; many varieties",Compositae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/chrysanthemum-r.jpg?itok=k2oPKH9x,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/chrysanthemum,FALSE,FALSE,FALSE,"Vomiting, diarrhea, hypersalivation, incoordination, dermatitis"
Cinnamon,Cinnamonium,null,Lauraceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/cinnamon-r.jpg?itok=J7lhhbvP,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/cinnamon,TRUE,TRUE,TRUE,null
Cinquefoil,Potentilla spp.,"Silver Cinquefoil, Shrubby Cinquefoil, Rough Cinquefoil, Sulfur Cinquefoil, Rock Cinquefoil",Rosaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/cinquefoil-r.jpg?itok=yi25lr56,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/cinquefoil,TRUE,TRUE,TRUE,null
Cirrhopetalum,Bulbophyllum appendiculatum,Old World Orchid,Orchidaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/cirrhopetalum-r.jpg?itok=5TL3DQHs,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/cirrhopetalum,TRUE,TRUE,FALSE,null
Clearweed,Pilea pumila,"Coolwort, Richweed",Urticaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/clearweed-r.jpg?itok=C4bxt59g,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/clearweed,TRUE,TRUE,TRUE,null
Clematis,Clematis sp.,"Virgin’s Bower, Leatherflower",Ranunculaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/clematis-r.jpg?itok=sVht9aKb,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/clematis,FALSE,FALSE,FALSE,"Salivation, vomiting, diarrhea."
Cliff Brake,Pellaea rotundifolia,"Button Fern, Green Cliff Brack, Cliff Break",Pteridaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/cliff-break-r.jpg?itok=nxVp18IH,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/cliff-brake,TRUE,TRUE,TRUE,null
Climbing Bittersweet,Celastrus scandens,"Bittersweet, Waxwork, Shrubby Bittersweet, False Bittersweet, Climbing Bittersweet, American Bittersweet",Celastraceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/american-bittersweet-r.jpg?itok=K-7x7p2u,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/climbing-bittersweet,FALSE,FALSE,FALSE,"weakness, convulsions, gastroenteritis (vomiting, diarrhea)"
Climbing Lily,Gloriosa superba,"Gloriosa Lily, Glory Lily, Superb Lily",Liliaceae,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/glory-lily-r.jpg?itok=f2xRmWM8,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/climbing-lily,FALSE,FALSE,FALSE,"Salivation, vomiting (bloody), diarrhea (bloody), shock, kidney failure, liver damage, bone marrow suppression."
